,state_name,average_from_2000,average_from_2010,inbound_migration_rate
0,Alabama,40888.73684210527,44287.77777777778,0.1460186053716341
1,Alaska,63484.57894736841,70568.77777777778,0.2895447547093615
2,Arizona,47892.47368421053,51152.666666666664,0.251124979673158
3,Arkansas,38494.15789473684,42095.0,0.1607096437110876
4,California,58121.36842105263,63845.11111111111,0.1233176820452059
5,Colorado,56460.78947368421,61979.11111111111,0.3424466989369753
6,Connecticut,64786.42105263159,70021.55555555556,0.1303530828808724
7,Delaware,55969.42105263159,60416.11111111111,0.3118034155522028
8,District of Columbia,58848.15789473684,70473.22222222222,0.2055371471915046
9,Florida,45152.631578947374,48377.11111111111,0.1991208844552857
10,Georgia,47736.26315789473,50634.666666666664,0.2037093353264957
11,Hawaii,62465.05263157895,70499.66666666667,0.2855573270276887
12,Idaho,44805.73684210527,48206.11111111111,0.2378830329369719
13,Illinois,53877.73684210526,58189.77777777778,0.1332199513542237
14,Indiana,46839.52631578947,49725.555555555555,0.1304335729835877
15,Iowa,48687.84210526316,53849.88888888889,0.1511688325673933
16,Kansas,48257.05263157895,52590.88888888889,0.1869125052997321
17,Kentucky,40985.89473684211,44386.333333333336,0.1572862583568826
18,Louisiana,40631.05263157895,44637.0,0.1357163270740911
19,Maine,45760.21052631579,50142.0,0.1457592263228101
20,Maryland,67375.57894736843,74985.33333333333,0.2079744465249476
21,Massachusetts,63019.05263157895,69966.55555555556,0.2058524641000272
22,Michigan,47998.26315789473,50112.444444444445,0.0720904857130234
23,Minnesota,57189.631578947374,62336.88888888889,0.1407077365804795
24,Mississippi,36845.26315789473,39980.11111111111,0.119088990613779
25,Missouri,45463.15789473684,48875.666666666664,0.1587510426236478
26,Montana,42726.42105263158,48141.11111111111,0.2511817012232828
27,Nebraska,48714.36842105263,53939.555555555555,0.1734089981476248
28,Nevada,51054.631578947374,53016.555555555555,0.3242529530443888
29,New Hampshire,61415.52631578947,67443.55555555556,0.1882168278520373
30,New Jersey,66627.36842105263,73069.11111111111,0.1103248283324737
31,New Mexico,41323.57894736842,44766.77777777778,0.2001305749377729
32,New York,53650.47368421053,59723.666666666664,0.1670491385612902
33,North Carolina,44069.42105263158,47820.0,0.2326839281093785
34,North Dakota,51362.3125,58204.555555555555,0.3094637793853138
35,Ohio,46833.57894736842,49887.666666666664,0.0936739108497144
36,Oklahoma,42153.52631578947,46961.77777777778,0.2014288879042977
37,Oregon,48707.94736842105,53173.555555555555,0.2469366922751701
38,Pennsylvania,49502.0,54284.0,0.1131997486746253
39,Rhode Island,52457.15789473684,57004.444444444445,0.1608037406798938
40,South Carolina,43060.47368421053,46394.444444444445,0.2204154993269594
41,South Dakota,45771.36842105263,51649.77777777778,0.2146959659793639
42,Tennessee,42493.21052631579,45994.88888888889,0.2155058201653264
43,Texas,48396.89473684211,53957.555555555555,0.1548338583840985
44,Utah,55559.57894736841,61881.666666666664,0.2312241691601037
45,Vermont,50108.47368421053,54946.88888888889,0.2038588499704014
46,Virginia,59233.42105263159,65611.11111111111,0.225096572452749
47,Washington,56428.94736842105,62874.11111111111,0.2416560618030948
48,West Virginia,37429.52631578947,41295.666666666664,0.1483055701254619
49,Wisconsin,50717.78947368421,54117.11111111111,0.124513787327571
50,Wyoming,51946.21052631579,58673.0,0.288651194222119
